sample_id	title
GSM4287987	18499_A_RNA-seq
GSM4287988	18499_B_RNA-seq
GSM4287989	18499_C_RNA-seq
GSM4287990	18499_D_RNA-seq
GSM4287991	18505_A_RNA-seq
GSM4287992	18505_B_RNA-seq
GSM4287993	18505_C_RNA-seq
GSM4287994	18505_D_RNA-seq
GSM4287995	18511_A_RNA-seq
GSM4287996	18511_B_RNA-seq
GSM4287997	18511_C_RNA-seq
GSM4287998	18511_D_RNA-seq
GSM4287999	18520_A_RNA-seq
GSM4288000	18520_B_RNA-seq
GSM4288001	18520_C_RNA-seq
GSM4288002	18520_D_RNA-seq
GSM4288003	18852_A_RNA-seq
GSM4288004	18852_B_RNA-seq
GSM4288005	18852_C_RNA-seq
GSM4288006	18852_D_RNA-seq
GSM4288007	18855_A_RNA-seq
GSM4288008	18855_B_RNA-seq
GSM4288009	18855_C_RNA-seq
GSM4288010	18855_D_RNA-seq
GSM4288011	18858_A_RNA-seq
GSM4288012	18858_B_RNA-seq
GSM4288013	18858_C_RNA-seq
GSM4288014	18858_D_RNA-seq
GSM4288015	18870_A_RNA-seq
GSM4288016	18870_B_RNA-seq
GSM4288017	18870_C_RNA-seq
GSM4288018	18870_D_RNA-seq
GSM4288019	18912_A_RNA-seq
GSM4288020	18912_B_RNA-seq
GSM4288021	18912_C_RNA-seq
GSM4288022	18912_D_RNA-seq
GSM4288023	19098_A_RNA-seq
GSM4288024	19098_B_RNA-seq
GSM4288025	19098_C_RNA-seq
GSM4288026	19098_D_RNA-seq
GSM4288027	19101_A_RNA-seq
GSM4288028	19101_B_RNA-seq
GSM4288029	19101_C_RNA-seq
GSM4288030	19101_D_RNA-seq
GSM4288031	19108_A_RNA-seq
GSM4288032	19108_B_RNA-seq
GSM4288033	19108_C_RNA-seq
GSM4288034	19108_D_RNA-seq
GSM4288035	19116_A_RNA-seq
GSM4288036	19116_B_RNA-seq
GSM4288037	19116_C_RNA-seq
GSM4288038	19116_D_RNA-seq
GSM4288039	19128_A_RNA-seq
GSM4288040	19128_B_RNA-seq
GSM4288041	19128_C_RNA-seq
GSM4288042	19128_D_RNA-seq
GSM4288043	19160_A_RNA-seq
GSM4288044	19160_B_RNA-seq
GSM4288045	19160_C_RNA-seq
GSM4288046	19160_D_RNA-seq
GSM4288047	18511_2_A_RNA-seq
GSM4288048	18511_2_B_RNA-seq
GSM4288049	18511_2_C_RNA-seq
GSM4288050	18511_2_D_RNA-seq
GSM4288051	18852_2_A_RNA-seq
GSM4288052	18852_2_B_RNA-seq
GSM4288053	18852_2_C_RNA-seq
GSM4288054	18852_2_D_RNA-seq
GSM4288055	18855_2_A_RNA-seq
GSM4288056	18855_2_B_RNA-seq
GSM4288057	18855_2_C_RNA-seq
GSM4288058	18855_2_D_RNA-seq
GSM4288059	18511_3_A_RNA-seq
GSM4288060	18511_3_B_RNA-seq
GSM4288061	18511_3_C_RNA-seq
GSM4288062	18511_3_D_RNA-seq
GSM4288063	18852_3_A_RNA-seq
GSM4288064	18852_3_B_RNA-seq
GSM4288065	18852_3_C_RNA-seq
GSM4288066	18852_3_D_RNA-seq
GSM4288067	18855_3_A_RNA-seq
GSM4288068	18855_3_B_RNA-seq
GSM4288069	18855_3_C_RNA-seq
GSM4288070	18855_3_D_RNA-seq
